Date,Global Revenue,Netflix Streaming Memberships 
31-03-2019,4520992000,148863000
30-06-2019,4923116000,151562000
30-09-2019,5244905000,158334000
31-12-2019,5467434000,167090000
31-03-2020,5767691000,182856000
30-06-2020,6148286000,192947000
30-09-2020,6435637000,195151000
31-12-2020,6644442000,203663000
31-03-2021,7163282000,207639000
30-06-2021,7341777000,209180000
30-09-2021,7483467000,213563000
31-12-2021,7709318000,221844000
31-03-2022,7867767000,221641000
30-06-2022,7970141000,220672000
30-09-2022,7925589000,223085000
31-12-2022,7852053000,230747000
31-03-2023,8161503000,232498000
